NazwaPodmiotu;Nip;Przeważająca działalność gospodarcza
MARINEX;6111508443;
ADI USŁUGI OGÓLNOBUDOWLANE I TRANSPORT;6112136216;
AGNES;6111696166;
AGROMAJSTER FIRMA HANDLOWO USŁUGOWA I TRANSPORTOWA;6110151051;
ALUTKA Usługi księgowo-kadrowe;6161531906;
AMER- JERZY AUGUST- USŁUGI TAPICERSKIE;6111219259;
ANDBER PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE;6111344556;
ARCHIPROJEKT BIURO PROJEKTOWE;7851153434;
AS SKLEP OGÓLNOSPOŻYWCZY;6111612873;
AUTO LUBAŃSKA;8211720586;
BAYOR-AUDIO;6111116111;
BEZPIECZEŃSTWO I EDUKACJA;6111543439;
Black Angel;6111043228;
BOUTIQUE HOTEL JELENIA GÓRA;6112806562;
CHAMPION FIRMA HANDLOWA;6111072017;
CHIRURGIA - CIEPLICE;6111160939;
COLOR STYLIST OLIWIA;6112822779;
CYBERJELONKI;5541766561;
DACHY-BRACIA -;6112383794;
DA-MED DAMIAN MACHAJSKI RATOWNIK MEDYCZNY;6112600116;
DARECKI DARIUSZ MIKULSKI FIRMA HANDLOWO-USŁUGOWA;6111400355;
DAST;6111716029;
DĄBEK -;6111343841;
DEREX FHU;6111602478;
DETAL STUDIO;6112484207;
DOBROWOLSKI;6112315605;
DOTTY;6111163056;
DŹWIGI PROKOP;6112557685;
egeko DORADZTWO FINANSOWO-UBEZPIECZENIOWE;6111428106;
EGO GABINET PSYCHOLOGICZNY;6111245570;
EKNA ZAKŁAD SZKLARSKI;6111040129;
EKOFER FIRMA WYTWÓRCZO-HANDLOWO-USŁUGOWA;6111402354;
EKO-KARAT;6111114566;
EL INSTAL -;6111138319;
ELITA SOLARIUM;6112078743;
EN-EL;6111084635;
EUFORIA;6111304278;
EVENT SZKOLENIA I CONSULTING BOGUSŁAWA MARTA MALINOWSKA;6391219242;
FART MICHAŁ SIENIUĆ w spadku;6110107676;
FINANSE;6111299301;
FLOWER HOUSE;6111022396;
FORLAB;6112312570;
FREUNDSCHAFT;6881191522;
GROSS - NET;6111839795;
GRUPA PERFEKTA;6141149026;
GWIAZDA;6111021416;
HANDEL I USŁUGI;6112314327;
HOT WATER;6112626469;
I LOVE BEAUTY -;6112560687;
IAM;6112217050;
INTEGRACJA;6112590553;
IREK;6112323622;
IST-BUD;6161051477;
IWONA SPRZEDAŻ PAMIĄTEK I ARTYKUŁÓW DEKORACYJNYCH;6111804704;
JACKAR;6111780292;
JEŻYK;6111176314;
KADRY ZAKŁAD SZKOLENIA I USŁUG;6111074298;
KAROLINA BIURO RACHUNKOWE;6111297259;
KOMPLEKS +;6151449698;
KONSTANS;6111189908;
LEK-MEDICAL USŁUGI PIELĘGNIARSKIE;6111124524;
LILITH;6111439423;
LINDA WŁADYSŁAW LISOWSKI w spadku;6110001297;
MAGMAS;6112533785;
MAISON-BUD;6112190983;
MALMAR;8811041586;
MARCOS SKLEP & MANUFAKTURA;6112424429;
MARIMED -;6112401061;
Mar-Kor Pomoc Drogowa TIR -Wulkanizacja-Mechanika Pojazdowa -;6111093350;
MARKUS;6112246689;
MARQS;6112306411;
MATEX;6111039095;
MEBLE LUX -;6111566400;
MOTO-SYSTEM;6112665015;
NATA;6111145302;
NATURALNIE;6111115169;
Niepubliczny Zakład Opieki Stomatologicznej;6111097158;
NIERUCHOMOŚCI KARKONOSKIE FHU JAN I ALICJA MIKITA;6111016510;
NON-STOP PĘTLA;6112736465;
NOVATIO - DENTIS PRACOWNIA PROTETYCZNA;6111793515;
NOVIS USŁUGI SEKRETARSKIE I UBEZPIECZENIOWE;6111528931;
OKSI;6112833375;
OSKAR;6111037587;
PAT-OLI;6112223760;
PETERBUD;6111506585;
PIKUŚ;6112118193;
POL - CENTRUM EDUKACYJNO - KULTURALNE;6161406319;
Polmat;6112585948;
Polska na Weekend.;6111772677;
POŻ-RENOVA- serwis przeciwpożarowy;6160000437;
PRO-100 PROFESJONALNE STOLARSTWO;6112414572;
PROTEC;5222555149;
PRZYCHODNIA DLA ZWIERZĄT-MEDICOT;8992690784;
RAG - POL;6111082027;
RAMIT;6111060304;
REH-MED;6112493867;
Rom-Pol;6112509315;
SEKRET URODY - SALON PIĘKNOŚCI;6112214092;
SKLEP OGÓLNOSPOŻYWCZY;6111052931;
SKLEP PRZEMYSŁOWY;6111073873;
SM SERVICES- STUDIO FRYZUR DIVA -;6111121951;
SM-HAP Posadzki Betonowe;6112531562;
SOB-BUD;6112678029;
SOL;6111141600;
STALMAR;6941635521;
SZUWAR;6112180967;
ŚNIEŻKA;6112547698;
TAXI FILIP;6112439773;
TED-BUD;6111414340;
TEK;6111733890;
TOMAREX FIRMA HANDLOWO-USŁUGOWA;6111073382;
TOMSUL SULIMIR TOMASZ ELEKTROMECHANIKA POJAZDOWA, WUKLANIZACJA;6111158606;
TRAMP;8851243304;
TREND MUSIC;6111049053;
TYTAN DACHY, OKNA, DRZWI;6111480851;
U KOZIOŁKA PIEKARNIA - KOZŁOWSCY IWONA ZDZIAŁAW S.C.;6110101099;
U KOZIOŁKA PIEKARNIA - KOZŁOWSCY IWONA ZDZISŁAW S.C.;6111165546;
UNIWERSAL;6112669355;
VICTUS PRZEDSIĘBIORSTWO-HANDLOWO-USŁUGOWE;6111804503;
VITEK -;6112377836;
WALDI FRYZJERSTWO MĘSKIE;6111831635;
Walmir Meble na wymiar;6941600066;
WENA;6112206796;
WODANSPORT;9121061614;
WojCar Mechanika pojazdowa -;6112405774;
Wrocław KIOSK OGÓLNO-WARZYWNY;6131200062;
XAV-LOGISTIC;6112572609;
Z.I.E i T Z-D INSTALATORSTWA ELEKTRYCZNEGO I TELEKOMUNIKACJI;6110050491;
ZACZAROWANY PARASOL;6111582362;
Zadbany Pupil;6111809937;
ZBYSZEK;6111746964;
ZWIERZAK;8942660798;
ZYMEK MOTOCYKLE;6112481290;
ŹRÓDŁO;6111780949;
ŻUSTEK JUSTYNA DRAGUN;6112238827;
,, LAS-BUD;6131500870;
1) GABINET MEDYCYNY ESTETYCZNEJ INDYWIDUALNA PRAKTYKA LEKARSKA LEK. MED. AGATA KREUTZER 2) GABINET REHABILITACJI;6111140753;
1)ELWOD - PIETRYNIECZ KRZYSZTOF 2) MAŁA ELEKTROWNIA WODNA MEWA;6111589358;
24H LOGISTICS;6112517941;
2c Better;6112412337;
2M PR AGENCJA;6111528256;
3D CAST;6112803026;
A ATELIER, AUTORSKA PRACOWNIA ARCHITEKTURY;6111035281;
A PROJEKT PRACOWNIA ARCHITEKTURY;6111345656;
A&D;6941014888;
A&S BUD;6112737996;
A.D.F POLONIA;6111014161;
A.T.MAG;6112141312;
A2 PROJEKT;6141486373;
AB ARCHITEKCI;6112237130;
AB BIURO RACHUNKOWE;6111605502;
ABC SHOP;6111127758;
ABGEO USŁUGI GEODEZYJNE;6112527595;
ABI_Consulting;6111353816;
ABKOM;6112216719;
ABN STĘPIEŃ NIERUCHOMOŚCI;6110007176;
PIZZERIA DALMACIJA;6111797938;
AC Projekt,;6112465612;
ACCOUNTANT;6112375139;
ACTIV TEAM;6141330990;
ACTIVE GROUP;6111174143;
AD - DOM;6112541632;
USŁUGI OGÓLNOBUDOWLANE KUMAN.PL;6161512725;
USŁUGI REMONTOWO-BUDOWLANE ADAM;6111757979;
TROCKENBAU JG;6112201741;
DAR - BUD;6112680664;
P.H.U. SYLVEX;6112302784;
ADANA;6112278413;
AD-BUD;6112767098;
Add_Me Office;6112590317;
Adelina;6112835233;
ADEX;6112542293;
ADLA;6111271076;
ADMIN;6141404659;
Administracja i Księgowość;6112378907;
ADORIS;7952350573;
ADREM;6111423936;
Instalacje Sanitarne;6112506162;
- MEBLOFF;6151475508;
